frequency,sensitivity
0.0,-177.9
1.0,-177.9
2.0,-177.9
3.0,-177.9
4.0,-177.9
5.0,-177.9
6.0,-177.9
7.0,-177.9
8.0,-177.9
9.0,-177.9
10.0,-177.9
11.0,-177.9
12.0,-177.9
13.0,-177.9
14.0,-177.9
15.0,-177.9
16.0,-177.9
17.0,-177.9
18.0,-177.9
19.0,-177.9
20.0,-177.9
21.0,-177.9
22.0,-177.9
23.0,-177.9
24.0,-177.9
25.0,-177.9
26.0,-177.9
27.0,-177.9
28.0,-177.9
29.0,-177.9
30.0,-177.9
31.0,-177.9
32.0,-177.9
33.0,-177.9
34.0,-177.9
35.0,-177.9
36.0,-177.9
37.0,-177.9
38.0,-177.9
39.0,-177.9
40.0,-177.9
41.0,-177.9
42.0,-177.9
43.0,-177.9
44.0,-177.9
45.0,-177.9
46.0,-177.9
47.0,-177.9
48.0,-177.9
49.0,-177.9
50.0,-177.9
51.0,-177.9
52.0,-177.9
53.0,-177.9
54.0,-177.9
55.0,-177.9
56.0,-177.9
57.0,-177.9
58.0,-177.9
59.0,-177.9
60.0,-177.9
61.0,-177.9
62.0,-177.9
63.0,-177.9
64.0,-177.9
65.0,-177.9
66.0,-177.9
67.0,-177.9
68.0,-177.9
69.0,-177.9
70.0,-177.9
71.0,-177.9
72.0,-177.9
73.0,-177.9
74.0,-177.9
75.0,-177.9
76.0,-177.9
77.0,-177.9
78.0,-177.9
79.0,-177.9
80.0,-177.9
81.0,-177.9
82.0,-177.9
83.0,-177.9
84.0,-177.9
85.0,-177.9
86.0,-177.9
87.0,-177.9
88.0,-177.9
89.0,-177.9
90.0,-177.9
91.0,-177.9
92.0,-177.9
93.0,-177.9
94.0,-177.9
95.0,-177.9
96.0,-177.9
97.0,-177.9
98.0,-177.9
99.0,-177.9
100.0,-177.9
101.0,-177.9
102.0,-177.9
103.0,-177.9
104.0,-177.9
105.0,-177.9
106.0,-177.9
107.0,-177.9
108.0,-177.9
109.0,-177.9
110.0,-177.9
111.0,-177.9
112.0,-177.9
113.0,-177.9
114.0,-177.9
115.0,-177.9
116.0,-177.9
117.0,-177.9
118.0,-177.9
119.0,-177.9
120.0,-177.9
121.0,-177.9
122.0,-177.9
123.0,-177.9
124.0,-177.9
125.0,-177.9
126.0,-177.9
127.0,-177.9
128.0,-177.9
129.0,-177.9
130.0,-177.9
131.0,-177.9
132.0,-177.9
133.0,-177.9
134.0,-177.9
135.0,-177.9
136.0,-177.9
137.0,-177.9
138.0,-177.9
139.0,-177.9
140.0,-177.9
141.0,-177.9
142.0,-177.9
143.0,-177.9
144.0,-177.9
145.0,-177.9
146.0,-177.9
147.0,-177.9
148.0,-177.9
149.0,-177.9
150.0,-177.9
151.0,-177.9
152.0,-177.9
153.0,-177.9
154.0,-177.9
155.0,-177.9
156.0,-177.9
157.0,-177.9
158.0,-177.9
159.0,-177.9
160.0,-177.9
161.0,-177.9
162.0,-177.9
163.0,-177.9
164.0,-177.9
165.0,-177.9
166.0,-177.9
167.0,-177.9
168.0,-177.9
169.0,-177.9
170.0,-177.9
171.0,-177.9
172.0,-177.9
173.0,-177.9
174.0,-177.9
175.0,-177.9
176.0,-177.9
177.0,-177.9
178.0,-177.9
